所有CPC成效報告 - Shopee台灣
使用者名稱,ivyhousetw
賣場名稱,艾薇手工坊
賣場ID,46769799
報表匯出時間,2026/01/04 17:14
期間,2025/12/04 - 2025/12/09

順序,廣告名稱,狀態,廣告類型,商品 ID,目標客群,創作,出價模式,版位,關鍵字/版位層級,比對模式,開始日期,結束日期,瀏覽數,點擊數,點擊率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率
1,賣場廣告 (自動投放),正在進行,賣場廣告,-,-,默認,自動出價,-,自動投放,-,2023/04/21 15:00:00,無限制,28817,3211,11.14%,54,35,1.68%,1.09%,93.53,144.30,91,65,16993.00,12240.00,5050.65,3.36,2.42,29.72%,41.26%,163323,204,0.12%
2,【艾薇手工坊】夏威夷豆塔-蜂蜜蔓越莓口味10入 (袋裝) [6],正在進行,商品廣告,1375165434,-,-,全站推廣 - 系統自動最佳化,所有,自動投放,-,2024/11/20 00:00:00,無限制,241129,2575,1.07%,106,48,4.12%,1.86%,188.82,416.97,153,70,41727.00,24000.00,20014.53,2.08,1.20,47.97%,83.39%,-,-,-
3,【艾薇手工坊】經典杏仁瓦片-原味 90g/135g (袋裝) [5],正在進行,商品廣告,3404746635,-,-,全站推廣 - 系統自動最佳化,所有,自動投放,-,2024/11/20 00:00:00,無限制,90719,1465,1.61%,75,47,5.12%,3.21%,54.73,87.34,128,90,17808.00,12442.00,4104.96,4.34,3.03,23.05%,32.99%,-,-,-
4,【艾薇手工坊】熱銷塔類10入(袋裝)  3包優惠組 口味自選 [4],正在進行,商品廣告,13702831378,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/20 00:00:00,無限制,60691,912,1.50%,33,10,3.62%,1.10%,207.22,683.82,69,36,18810.00,12240.00,6838.16,2.75,1.79,36.35%,55.87%,-,-,-
5,【艾薇手工坊】經典杏仁瓦片-巧克力口味 90g/135g  (袋裝) [4],正在進行,商品廣告,15268385567,-,-,全站推廣 - 系統自動最佳化,所有,自動投放,-,2024/11/14 00:00:00,無限制,53338,772,1.45%,39,15,5.05%,1.94%,59.03,153.47,72,33,9963.00,4215.00,2302.04,4.33,1.83,23.11%,54.62%,-,-,-
6,【艾薇手工坊】夏威夷豆塔-法國巧克力口味 10入 (袋裝) [4],正在進行,商品廣告,1375157410,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,49848,562,1.13%,15,6,2.67%,1.07%,188.17,470.43,23,11,6925.00,3780.00,2822.58,2.45,1.34,40.76%,74.67%,-,-,-
7,【艾薇手工坊】經典杏仁瓦片-綜合口味 90g/135g (袋裝) [4],正在進行,商品廣告,11916833592,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/10/25 00:00:00,無限制,44065,665,1.51%,26,16,3.91%,2.41%,100.90,163.95,48,37,7118.00,5490.00,2623.27,2.71,2.09,36.85%,47.78%,-,-,-
8,【艾薇手工坊】夏威夷豆法式牛奶糖 200g(袋裝) [6],正在進行,商品廣告,739034540,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/20 00:00:00,無限制,40920,445,1.09%,24,7,5.39%,1.57%,86.35,296.06,27,10,5258.00,2500.00,2072.41,2.54,1.21,39.41%,82.90%,-,-,-
9,【艾薇手工坊】奶油曲奇餅乾-法國巧克力口味 90g/135g (袋裝) [4],正在進行,商品廣告,2226054954,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,40232,719,1.79%,38,13,5.29%,1.81%,56.64,165.55,41,16,5680.00,2060.00,2152.20,2.64,0.96,37.89%,104.48%,-,-,-
10,【艾薇手工坊】夏威夷豆塔-綜合口味 10入 (袋裝) [5],正在進行,商品廣告,1375216615,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/20 00:00:00,無限制,36141,396,1.10%,14,6,3.54%,1.52%,162.91,380.13,18,8,4770.00,2750.00,2280.80,2.09,1.21,47.82%,82.94%,-,-,-
11,【艾薇手工坊】南棗核桃糕 200g (袋裝) [5],正在進行,商品廣告,739067767,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/10/25 00:00:00,無限制,35979,465,1.29%,19,11,4.09%,2.37%,107.00,184.81,36,26,6935.00,5200.00,2032.96,3.41,2.56,29.31%,39.10%,-,-,-
12,【艾薇手工坊】椰棗夏威夷豆 150g (袋裝) [5],正在進行,商品廣告,6104309742,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/20 00:00:00,無限制,35418,485,1.37%,43,18,8.87%,3.71%,73.93,176.61,54,24,11713.00,6000.00,3179.00,3.68,1.89,27.14%,52.98%,-,-,-
13,【艾薇手工坊】經典杏仁瓦片-紅茶口味 90g/135g  (袋裝) [4],正在進行,商品廣告,15868394050,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,32721,432,1.32%,17,8,3.94%,1.85%,83.97,178.44,19,10,2894.00,1415.00,1427.49,2.03,0.99,49.33%,100.88%,-,-,-
14,【艾薇手工坊】夏威夷豆塔-法式焦糖口味 10入(袋裝) [4],正在進行,商品廣告,1375404584,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,32107,359,1.12%,17,11,4.74%,3.06%,93.58,144.62,18,12,5580.00,4130.00,1590.84,3.51,2.60,28.51%,38.52%,-,-,-
